name,category_l2,lat,lng,rating,review_count,price_band,open_status
有间快餐 中心店,中式快餐,31.2310,121.4741,4.2,138,2,open
谷雨咖啡,咖啡馆,31.2308,121.4730,4.5,212,3,open
麦穗面包,面包甜点,31.2299,121.4727,4.4,95,2,open
日日便利,便利店,31.2315,121.4735,4.1,48,1,open
潮流衣橱,服饰店,31.2298,121.4749,4.0,63,3,open
花火美妆,美妆集合店,31.2320,121.4752,4.3,74,3,open
理想理发,理发店,31.2303,121.4722,4.6,166,2,open
指尖美甲,美甲店,31.2317,121.4728,4.5,121,2,open
净衣坊,洗衣店,31.2296,121.4738,4.2,52,2,open
字节课堂,编程培训,31.2289,121.4731,4.3,44,4,open
星火英语,语言培训,31.2323,121.4746,4.2,37,4,open
小树成长,素质教育,31.2292,121.4729,4.1,31,4,open
明亮口腔,口腔门诊,31.2306,121.4751,4.4,83,4,open
康衡理疗,康复理疗,31.2301,121.4744,4.5,67,3,open
安康管理,健康管理,31.2314,121.4725,4.3,59,3,open
破冰桌游,桌游馆,31.2294,121.4742,4.2,55,3,open
夜色剧本,剧本杀,31.2321,121.4733,4.1,49,3,open
引力健身,健身工作室,31.2311,121.4750,4.4,71,3,open
有间快餐 分店,中式快餐,31.2310,121.4741,4.1,120,2,open
日日便利 新店,便利店,31.2313,121.4736,4.8,2,1,open
超星咖啡,咖啡馆,31.2307,121.4726,4.96,1,3,open
超星咖啡,咖啡馆,31.2307,121.4726,4.9,3,3,open
闭店测试店,服饰店,31.2300,121.4739,3.8,12,3,closed
远郊门店,理发店,31.2800,121.5100,4.6,180,2,open
远郊教育,语言培训,31.2805,121.5090,4.2,42,4,open
