name,category_l2,lat,lng,rating,review_count,price_band,open_status
三陶自习室(一中校区),语言培训,33.652463,116.947478,3.9,8,4,open
菜鸟驿站(学源居店),生活服务,33.652175,116.946775,3.6,8,2,open
邮政便利店(学源居店),便利店,33.652185,116.946159,3.5,8,1,open
才源便利店(学源居店),便利店,33.652155,116.947597,3.5,8,1,open
精致眼镜(学源居店),服饰店,33.652396,116.945175,3.5,8,3,open
真谛平价书店(学源居店),服饰店,33.652331,116.945133,3.9,8,3,open
晨光文具(学源居店),服饰店,33.652392,116.945025,3.5,8,3,open
曙光眼镜(学源居店),服饰店,33.652466,116.944995,4,8,3,open
蓝宇书店(学源居店),服饰店,33.652261,116.944849,3.9,8,3,open
菜鸟驿站(学源居店),生活服务,33.652045,116.944759,3.9,8,2,open
考拉满分,语言培训,33.652175,116.944575,3.6,8,4,open
宋良苏诊所,健康管理,33.652467,116.944475,3.5,8,3,open
安徽省宿城第一中学,素质教育,33.654808,116.946054,3.5,8,4,open
千溪汇休闲养生沐足(宿州店),生活服务,33.652029,116.949393,4.4,8,3,open
瑞幸咖啡(宿州万达广场店),咖啡馆,33.653214,116.949578,4.4,8,1,open
小皮爸爸,中式快餐,33.651835,116.949418,4.2,8,2,open
COLMO中央空调(碧桂园店),服饰店,33.652503,116.949676,3.5,8,3,open
宿州信美口腔万达诊所,口腔门诊,33.652492,116.949677,3.5,8,4,open
扬州真功夫足道(宿州碧桂园店),生活服务,33.651741,116.949423,3.8,8,1,open
隅田川全进口母婴生活馆(宿州万达广场店),服饰店,33.653418,116.949624,3.9,8,3,open
大方世家地产(拂晓大道店),生活服务,33.651664,116.949454,3.9,8,2,open
功夫肩颈梦媛美容会所(宿州万达广场店),生活服务,33.652475,116.949825,4.4,8,2,open
万达宝贝王(宿州埇桥万达广场店),文娱,33.653584,116.949675,4.1,8,1,open
鸣仙森三文鱼(宿州店),中式快餐,33.651531,116.949486,4.1,8,2,open
homie厚迷甜品,面包甜点,33.651505,116.949483,4.4,8,2,open
孩子王(宿州万达广场店),服饰店,33.653543,116.949723,4.1,8,3,open
甜蜜恋爱暴击俱乐部,文娱,33.653861,116.949578,3.8,8,2,open
